"Step","train - train/dfl_loss","train - train/dfl_loss__MIN","train - train/dfl_loss__MAX"
"1","1.24092","1.24092","1.24092"
"2","1.19416","1.19416","1.19416"
"3","1.23465","1.23465","1.23465"
"4","1.2578","1.2578","1.2578"
"5","1.24326","1.24326","1.24326"
"6","1.22349","1.22349","1.22349"
"7","1.20744","1.20744","1.20744"
"8","1.20932","1.20932","1.20932"
"9","1.20307","1.20307","1.20307"
"10","1.18655","1.18655","1.18655"
"11","1.18048","1.18048","1.18048"
"12","1.18733","1.18733","1.18733"
"13","1.17521","1.17521","1.17521"
"14","1.16706","1.16706","1.16706"
"15","1.16676","1.16676","1.16676"
"16","1.16307","1.16307","1.16307"
"17","1.15547","1.15547","1.15547"
"18","1.16773","1.16773","1.16773"
"19","1.15448","1.15448","1.15448"
"20","1.15894","1.15894","1.15894"
"21","1.15859","1.15859","1.15859"
"22","1.14342","1.14342","1.14342"
"23","1.14481","1.14481","1.14481"
"24","1.146","1.146","1.146"
"25","1.14094","1.14094","1.14094"
"26","1.14741","1.14741","1.14741"
"27","1.13923","1.13923","1.13923"
"28","1.13565","1.13565","1.13565"
"29","1.13049","1.13049","1.13049"
"30","1.13367","1.13367","1.13367"
"31","1.12845","1.12845","1.12845"
"32","1.12964","1.12964","1.12964"
"33","1.13006","1.13006","1.13006"
"34","1.12863","1.12863","1.12863"
"35","1.12761","1.12761","1.12761"
"36","1.12646","1.12646","1.12646"
"37","1.12525","1.12525","1.12525"
"38","1.12436","1.12436","1.12436"
"39","1.12269","1.12269","1.12269"
"40","1.11854","1.11854","1.11854"
"41","1.12229","1.12229","1.12229"
"42","1.1225","1.1225","1.1225"
"43","1.11883","1.11883","1.11883"
"44","1.12081","1.12081","1.12081"
"45","1.11252","1.11252","1.11252"
"46","1.11968","1.11968","1.11968"
"47","1.1163","1.1163","1.1163"
"48","1.10917","1.10917","1.10917"
"49","1.11881","1.11881","1.11881"
"50","1.11199","1.11199","1.11199"
"51","1.11246","1.11246","1.11246"
"52","1.11144","1.11144","1.11144"
"53","1.10406","1.10406","1.10406"
"54","1.10627","1.10627","1.10627"
"55","1.10216","1.10216","1.10216"
"56","1.1048","1.1048","1.1048"
"57","1.10301","1.10301","1.10301"
"58","1.10183","1.10183","1.10183"
"59","1.10148","1.10148","1.10148"
"60","1.10462","1.10462","1.10462"
"61","1.09616","1.09616","1.09616"
"62","1.09584","1.09584","1.09584"
"63","1.09561","1.09561","1.09561"
"64","1.09669","1.09669","1.09669"
"65","1.09345","1.09345","1.09345"
"66","1.09417","1.09417","1.09417"
"67","1.09358","1.09358","1.09358"
"68","1.08924","1.08924","1.08924"
"69","1.0932","1.0932","1.0932"
"70","1.09708","1.09708","1.09708"
"71","1.09284","1.09284","1.09284"
"72","1.09931","1.09931","1.09931"
"73","1.09563","1.09563","1.09563"
"74","1.08673","1.08673","1.08673"
"75","1.08825","1.08825","1.08825"
"76","1.09164","1.09164","1.09164"
"77","1.09128","1.09128","1.09128"
"78","1.08539","1.08539","1.08539"
"79","1.08235","1.08235","1.08235"
"80","1.09192","1.09192","1.09192"
"81","1.08556","1.08556","1.08556"
"82","1.08579","1.08579","1.08579"
"83","1.08558","1.08558","1.08558"
"84","1.08409","1.08409","1.08409"
"85","1.07922","1.07922","1.07922"
"86","1.07408","1.07408","1.07408"
"87","1.08981","1.08981","1.08981"
"88","1.07654","1.07654","1.07654"
"89","1.07726","1.07726","1.07726"
"90","1.07708","1.07708","1.07708"
"91","1.07662","1.07662","1.07662"
"92","1.08335","1.08335","1.08335"
"93","1.07838","1.07838","1.07838"
"94","1.08057","1.08057","1.08057"
"95","1.07176","1.07176","1.07176"
"96","1.07026","1.07026","1.07026"
"97","1.07116","1.07116","1.07116"
"98","1.07905","1.07905","1.07905"
"99","1.07013","1.07013","1.07013"
"100","1.06674","1.06674","1.06674"
"101","1.07741","1.07741","1.07741"
"102","1.06896","1.06896","1.06896"
"103","1.07085","1.07085","1.07085"
"104","1.068","1.068","1.068"
"105","1.07423","1.07423","1.07423"
"106","1.06844","1.06844","1.06844"
"107","1.07347","1.07347","1.07347"
"108","1.06271","1.06271","1.06271"
"109","1.0649","1.0649","1.0649"
"110","1.06334","1.06334","1.06334"
"111","1.0656","1.0656","1.0656"
"112","1.06473","1.06473","1.06473"
"113","1.06752","1.06752","1.06752"
"114","1.05937","1.05937","1.05937"
"115","1.06813","1.06813","1.06813"
"116","1.06696","1.06696","1.06696"
