"Step","train - train/seg_loss","train - train/seg_loss__MIN","train - train/seg_loss__MAX"
"1","2.71992","2.71992","2.71992"
"2","2.38175","2.38175","2.38175"
"3","2.40949","2.40949","2.40949"
"4","2.4812","2.4812","2.4812"
"5","2.38918","2.38918","2.38918"
"6","2.31698","2.31698","2.31698"
"7","2.28194","2.28194","2.28194"
"8","2.32144","2.32144","2.32144"
"9","2.23732","2.23732","2.23732"
"10","2.18661","2.18661","2.18661"
"11","2.14555","2.14555","2.14555"
"12","2.15056","2.15056","2.15056"
"13","2.13116","2.13116","2.13116"
"14","2.11002","2.11002","2.11002"
"15","2.10428","2.10428","2.10428"
"16","2.09876","2.09876","2.09876"
"17","2.05659","2.05659","2.05659"
"18","2.09366","2.09366","2.09366"
"19","2.06582","2.06582","2.06582"
"20","2.04926","2.04926","2.04926"
"21","2.07802","2.07802","2.07802"
"22","2.04641","2.04641","2.04641"
"23","2.03542","2.03542","2.03542"
"24","2.03339","2.03339","2.03339"
"25","2.00647","2.00647","2.00647"
"26","2.01952","2.01952","2.01952"
"27","1.973","1.973","1.973"
"28","1.97844","1.97844","1.97844"
"29","1.96546","1.96546","1.96546"
"30","1.94066","1.94066","1.94066"
"31","1.97423","1.97423","1.97423"
"32","1.95809","1.95809","1.95809"
"33","1.98156","1.98156","1.98156"
"34","1.96026","1.96026","1.96026"
"35","1.94387","1.94387","1.94387"
"36","1.99558","1.99558","1.99558"
"37","1.96611","1.96611","1.96611"
"38","1.96083","1.96083","1.96083"
"39","1.941","1.941","1.941"
"40","1.90808","1.90808","1.90808"
"41","1.9183","1.9183","1.9183"
"42","1.93332","1.93332","1.93332"
"43","1.91446","1.91446","1.91446"
"44","1.9301","1.9301","1.9301"
"45","1.92619","1.92619","1.92619"
"46","1.91414","1.91414","1.91414"
"47","1.90911","1.90911","1.90911"
"48","1.89834","1.89834","1.89834"
"49","1.93497","1.93497","1.93497"
"50","1.87514","1.87514","1.87514"
"51","1.88482","1.88482","1.88482"
"52","1.8845","1.8845","1.8845"
"53","1.86601","1.86601","1.86601"
"54","1.9056","1.9056","1.9056"
"55","1.86551","1.86551","1.86551"
"56","1.86239","1.86239","1.86239"
"57","1.88049","1.88049","1.88049"
"58","1.85317","1.85317","1.85317"
"59","1.84944","1.84944","1.84944"
"60","1.88869","1.88869","1.88869"
"61","1.83823","1.83823","1.83823"
"62","1.84854","1.84854","1.84854"
"63","1.85018","1.85018","1.85018"
"64","1.83761","1.83761","1.83761"
"65","1.83986","1.83986","1.83986"
"66","1.81604","1.81604","1.81604"
"67","1.82426","1.82426","1.82426"
"68","1.82209","1.82209","1.82209"
"69","1.82143","1.82143","1.82143"
"70","1.84958","1.84958","1.84958"
"71","1.82273","1.82273","1.82273"
"72","1.82146","1.82146","1.82146"
"73","1.83123","1.83123","1.83123"
"74","1.80735","1.80735","1.80735"
"75","1.81772","1.81772","1.81772"
"76","1.81781","1.81781","1.81781"
"77","1.82435","1.82435","1.82435"
"78","1.78414","1.78414","1.78414"
"79","1.77023","1.77023","1.77023"
"80","1.80678","1.80678","1.80678"
"81","1.82397","1.82397","1.82397"
"82","1.81165","1.81165","1.81165"
"83","1.79517","1.79517","1.79517"
"84","1.77113","1.77113","1.77113"
"85","1.7669","1.7669","1.7669"
"86","1.75009","1.75009","1.75009"
"87","1.79666","1.79666","1.79666"
"88","1.79368","1.79368","1.79368"
"89","1.74815","1.74815","1.74815"
"90","1.76165","1.76165","1.76165"
"91","1.76913","1.76913","1.76913"
"92","1.7836","1.7836","1.7836"
"93","1.76205","1.76205","1.76205"
"94","1.78742","1.78742","1.78742"
"95","1.76415","1.76415","1.76415"
"96","1.75763","1.75763","1.75763"
"97","1.7474","1.7474","1.7474"
"98","1.76792","1.76792","1.76792"
"99","1.75166","1.75166","1.75166"
"100","1.71361","1.71361","1.71361"
"101","1.77121","1.77121","1.77121"
"102","1.72053","1.72053","1.72053"
"103","1.74247","1.74247","1.74247"
"104","1.72714","1.72714","1.72714"
"105","1.75181","1.75181","1.75181"
"106","1.72456","1.72456","1.72456"
"107","1.70377","1.70377","1.70377"
"108","1.70227","1.70227","1.70227"
"109","1.73233","1.73233","1.73233"
"110","1.71378","1.71378","1.71378"
"111","1.70789","1.70789","1.70789"
"112","1.72017","1.72017","1.72017"
"113","1.75292","1.75292","1.75292"
"114","1.70344","1.70344","1.70344"
"115","1.71627","1.71627","1.71627"
"116","1.69729","1.69729","1.69729"
"117","1.71972","1.71972","1.71972"
"118","1.67862","1.67862","1.67862"
"119","1.69531","1.69531","1.69531"
"120","1.70383","1.70383","1.70383"
"121","1.709","1.709","1.709"
"122","1.65414","1.65414","1.65414"
"123","1.693","1.693","1.693"
"124","1.69399","1.69399","1.69399"
"125","1.69229","1.69229","1.69229"
"126","1.66386","1.66386","1.66386"
